aX,aY,aZ,gX,gY,gZ
0.024,-0.188,0.912,-4.944,13.611,5.127
0.024,-0.185,0.905,-2.930,13.733,7.263
0.027,-0.187,0.903,0.610,13.123,8.179
0.027,-0.185,0.893,1.831,12.878,9.277
0.030,-0.179,0.882,1.587,12.146,10.132
0.033,-0.163,0.873,1.282,10.925,10.986
0.036,-0.150,0.869,2.380,8.911,11.963
0.037,-0.136,0.875,3.784,5.981,12.512
0.029,-0.118,0.895,2.014,3.174,12.634
0.025,-0.116,0.919,-2.197,-0.305,11.414
0.030,-0.125,0.946,-5.554,-1.953,9.155
0.026,-0.144,0.979,-6.409,-0.977,6.958
0.021,-0.152,0.992,-7.507,1.770,5.920
0.025,-0.142,0.978,-8.667,5.859,6.836
-0.381,-0.649,1.835,7.629,-42.542,-103.027
-0.366,-0.881,1.773,-14.771,-25.085,-110.657
-0.350,-0.982,1.738,-30.762,-27.161,-95.642
-0.353,-1.016,1.832,-30.762,-55.969,-62.439
-0.345,-0.892,1.955,-23.987,-79.224,-25.574
-0.321,-0.651,1.927,-21.545,-76.477,5.310
-0.304,-0.456,1.871,-14.587,-65.613,21.118
-0.296,-0.313,1.851,-7.812,-65.063,26.489
-0.275,-0.219,1.834,-5.981,-70.435,29.602
-0.249,-0.201,1.824,-0.122,-71.106,27.832
-0.229,-0.201,1.798,7.996,-58.533,22.400
-0.207,-0.175,1.677,9.705,-36.438,17.029
-0.196,-0.176,1.578,10.437,-24.658,13.306
-0.197,-0.207,1.567,12.024,-28.809,12.268
-0.189,-0.193,1.628,9.155,-37.292,15.991
-0.184,-0.144,1.727,4.089,-43.884,22.705
-0.181,-0.071,1.807,1.587,-41.748,26.855
-0.184,-0.014,1.841,3.784,-28.564,26.428
-0.187,0.008,1.781,10.559,-6.897,21.484
-0.194,-0.019,1.634,19.470,19.409,13.367
-0.206,-0.059,1.469,24.719,40.100,5.554
-0.213,-0.101,1.297,25.696,48.645,1.770
-0.219,-0.151,1.183,27.588,49.377,-0.671
-0.228,-0.209,1.105,26.611,47.852,-1.587
-0.234,-0.276,1.053,21.179,41.321,-0.488
-0.241,-0.305,1.030,13.977,32.471,2.869
-0.250,-0.302,1.035,9.521,21.851,8.301
-0.258,-0.286,1.066,10.315,10.803,13.123
-0.265,-0.260,1.110,13.672,3.479,17.212
-0.269,-0.225,1.145,16.418,-0.244,19.409
-0.264,-0.216,1.176,19.470,-2.991,19.409
-0.268,-0.215,1.194,22.400,-2.319,17.944
-0.261,-0.221,1.180,24.170,3.479,16.479
-0.257,-0.262,1.168,25.635,8.362,14.160
-0.246,-0.312,1.155,23.926,11.353,13.306
-0.248,-0.329,1.128,18.738,16.113,15.564
-0.241,-0.318,1.080,13.977,21.118,19.348
-0.242,-0.303,1.057,12.695,22.461,22.949
-0.240,-0.275,1.048,11.047,21.790,25.330
-0.228,-0.243,1.050,7.568,18.738,27.771
-0.226,-0.219,1.064,3.784,16.113,29.175
-0.226,-0.188,1.052,-0.671,19.104,27.771
-0.215,-0.158,0.989,-3.540,25.757,25.513
-0.223,-0.152,0.975,-1.770,30.090,21.484
-0.223,-0.176,0.978,-0.977,27.222,16.296
-0.212,-0.219,0.982,-4.822,23.987,13.428
-0.207,-0.241,0.975,-11.047,26.489,12.024
-0.206,-0.254,0.955,-15.808,31.311,11.047
-0.202,-0.265,0.930,-17.578,33.997,12.207
-0.202,-0.254,0.901,-17.273,35.034,14.954
-0.201,-0.226,0.888,-15.503,35.706,17.456
-0.197,-0.208,0.891,-13.245,33.142,18.433
-0.190,-0.185,0.905,-12.878,28.748,18.311
-0.177,-0.179,0.914,-14.099,25.696,17.883
-0.166,-0.195,0.935,-13.428,26.184,15.015
-0.162,-0.212,0.945,-12.573,29.724,12.390
-0.155,-0.216,0.916,-13.977,33.386,12.573
-0.144,-0.194,0.865,-14.709,36.865,14.221
-0.138,-0.172,0.817,-12.207,39.307,15.320
-0.132,-0.146,0.789,-9.460,40.100,16.541
-0.130,-0.122,0.774,-9.766,35.828,17.029
-0.111,-0.108,0.776,-12.146,27.954,16.113
-0.106,-0.109,0.804,-14.526,21.301,13.428
-0.101,-0.106,0.825,-16.785,19.104,10.010
-0.101,-0.102,0.840,-18.005,19.104,7.446
-0.096,-0.112,0.855,-17.029,18.066,5.249
-0.092,-0.134,0.856,-14.954,16.541,3.052
-0.083,-0.154,0.853,-12.024,17.029,1.221
-0.080,-0.200,0.867,-8.789,14.648,0.854
-0.073,-0.223,0.891,-9.338,11.047,2.197
-0.060,-0.205,0.885,-13.123,10.742,5.859
-0.062,-0.164,0.894,-15.198,12.939,8.850
-0.054,-0.156,0.914,-15.625,13.184,8.972
-0.047,-0.164,0.923,-17.700,12.512,7.324
-0.034,-0.183,0.911,-18.921,16.357,4.822
-0.029,-0.177,0.879,-18.066,23.987,3.113
-0.028,-0.180,0.857,-15.564,26.306,3.967
-0.022,-0.179,0.860,-13.184,22.400,5.188
-0.016,-0.155,0.861,-13.367,19.165,7.690
-0.013,-0.133,0.870,-13.428,17.517,8.667
-0.013,-0.130,0.887,-12.695,15.747,7.629
-0.013,-0.128,0.905,-12.756,15.015,6.409
-0.005,-0.144,0.917,-12.878,14.282,5.249
-0.008,-0.154,0.930,-11.902,14.404,3.906
-0.007,-0.162,0.926,-10.071,15.808,3.723
0.000,-0.161,0.910,-8.179,17.761,4.578
0.005,-0.165,0.900,-5.310,17.212,5.310
0.008,-0.168,0.893,-4.395,15.991,6.042
0.016,-0.157,0.880,-4.761,15.381,7.080
0.019,-0.149,0.884,-3.967,13.672,8.240
0.020,-0.142,0.904,-3.296,10.742,9.338
0.020,-0.136,0.927,-3.723,8.484,10.010
0.022,-0.127,0.929,-3.418,8.911,10.010
0.025,-0.123,0.933,-1.282,11.780,9.216
0.028,-0.139,0.927,-0.427,13.794,7.568
0.034,-0.157,0.908,-2.136,15.747,5.798
0.039,-0.156,0.889,-4.272,17.578,5.188
0.039,-0.172,0.884,-3.967,14.709,7.080
0.041,-0.169,0.896,-2.808,9.644,10.315
0.047,-0.145,0.910,-2.014,6.409,14.404
0.047,-0.113,0.923,-1.404,4.822,18.005
0.044,-0.090,0.920,-2.075,5.371,18.860
0.038,-0.062,0.912,-3.662,7.202,17.578
0.037,-0.046,0.908,-5.554,7.812,15.137
0.033,-0.063,0.920,-7.385,6.042,12.146
0.033,-0.093,0.945,-10.315,4.395,8.667
0.035,-0.116,0.956,-13.062,5.127,6.958
0.040,-0.125,0.947,-13.245,7.446,7.996
0.044,-0.120,0.929,-9.949,10.071,10.254
0.043,-0.108,0.909,-4.333,10.864,13.184
0.047,-0.091,0.899,0.549,10.376,15.381
0.052,-0.077,0.890,1.648,8.362,16.296
0.047,-0.057,0.894,-0.305,7.690,15.625
0.046,-0.052,0.908,-3.784,7.080,13.123
0.042,-0.065,0.929,-7.202,5.188,10.376
0.039,-0.065,0.948,-9.583,6.165,8.057
0.037,-0.066,0.958,-9.705,7.935,7.202
0.045,-0.083,0.962,-7.446,8.850,6.714
0.049,-0.095,0.954,-4.822,11.292,6.714
-0.531,-0.387,2.170,-14.832,-188.354,-48.828
-0.539,-0.584,2.293,41.138,-135.986,-55.664
-0.521,-0.716,2.151,66.650,-72.449,-55.664
-0.517,-0.819,1.966,62.988,-31.860,-53.040
-0.518,-0.893,1.858,38.574,-24.780,-45.593
-0.516,-0.893,1.834,2.808,-40.466,-30.029
-0.492,-0.749,1.877,-27.527,-60.730,-7.568
-0.472,-0.510,1.960,-41.138,-77.209,15.686
-0.442,-0.234,2.034,-43.091,-91.614,33.752
-0.437,-0.028,2.181,-36.133,-110.535,44.067
-0.425,0.012,2.492,-25.757,-133.301,43.640
-0.402,0.032,2.715,-25.879,-124.023,33.020
-0.371,0.019,2.715,-23.560,-77.576,16.968
-0.344,-0.096,2.534,-3.357,-22.888,1.953
-0.318,-0.202,2.245,18.555,20.081,-1.831
-0.282,-0.208,1.939,27.161,43.518,5.737
-0.244,-0.174,1.693,28.931,45.593,16.846
-0.220,-0.141,1.556,26.978,35.828,24.841
-0.209,-0.111,1.504,17.029,23.987,27.222
-0.208,-0.076,1.483,1.709,16.602,24.963
-0.216,-0.055,1.466,-8.789,15.869,20.020
-0.232,-0.057,1.453,-7.385,18.921,14.771
-0.249,-0.064,1.418,1.648,23.987,11.597
-0.249,-0.100,1.354,13.062,29.297,8.728
-0.261,-0.141,1.291,23.010,35.522,4.089
-0.270,-0.173,1.238,27.161,41.077,-0.366
-0.274,-0.215,1.191,25.085,41.992,-3.235
-0.285,-0.253,1.162,21.667,37.537,-3.479
-0.288,-0.274,1.159,21.790,32.227,-1.282
-0.286,-0.316,1.173,25.940,27.893,1.587
-0.275,-0.344,1.143,27.893,29.663,4.211
-0.278,-0.340,1.047,25.391,39.978,7.629
-0.273,-0.333,0.982,23.010,49.988,10.010
-0.281,-0.337,0.912,19.348,54.016,11.841
-0.277,-0.362,0.869,12.146,51.208,12.512
-0.272,-0.372,0.846,2.686,43.335,13.550
-0.292,-0.342,0.856,-5.432,33.875,17.883
-0.291,-0.295,0.887,-8.606,25.024,24.231
-0.298,-0.257,0.945,-8.118,16.785,28.931
-0.274,-0.206,0.961,-8.362,14.526,31.738
-0.275,-0.183,0.969,-6.470,18.860,31.006
-0.247,-0.182,0.943,-3.296,26.489,25.879
-0.249,-0.180,0.896,-0.671,37.109,20.874
-0.237,-0.189,0.860,1.587,45.349,17.029
-0.226,-0.207,0.826,1.221,46.814,14.954
-0.217,-0.202,0.799,-1.770,47.241,14.465
-0.207,-0.190,0.785,-3.540,48.218,14.587
-0.203,-0.183,0.778,-2.441,46.936,14.587
-0.201,-0.166,0.763,-0.061,48.523,14.954
-0.207,-0.141,0.764,1.648,50.659,14.709
-0.187,-0.155,0.762,0.366,47.546,12.817
-0.187,-0.148,0.780,-3.784,43.701,8.972
-0.176,-0.139,0.785,-7.202,41.870,6.592
-0.162,-0.167,0.803,-5.798,38.940,3.906
-0.146,-0.209,0.830,-3.113,36.499,1.038
-0.134,-0.233,0.834,-4.822,36.499,0.977
-0.116,-0.231,0.819,-9.155,37.842,3.418
-0.109,-0.204,0.802,-12.939,37.476,6.287
-0.103,-0.158,0.789,-15.869,36.194,8.728
-0.089,-0.131,0.795,-18.311,31.555,9.705
-0.073,-0.145,0.811,-20.569,26.428,8.118
-0.065,-0.139,0.824,-24.292,25.696,5.371
-0.063,-0.137,0.834,-26.489,27.100,3.723
-0.050,-0.158,0.844,-22.278,26.917,2.319
-0.032,-0.183,0.832,-14.038,27.771,2.502
-0.036,-0.180,0.824,-6.226,32.593,4.700
-0.027,-0.172,0.819,-3.540,33.203,7.019
-0.014,-0.164,0.809,-5.798,30.151,8.301
-0.008,-0.149,0.797,-10.254,29.419,7.690
-0.002,-0.127,0.784,-15.137,29.907,6.653
0.005,-0.120,0.778,-19.287,27.832,5.371
0.007,-0.124,0.795,-22.278,23.499,3.479
0.017,-0.136,0.812,-23.621,19.897,1.770
0.027,-0.161,0.822,-19.470,19.043,0.732
0.028,-0.195,0.830,-11.963,20.203,1.282
0.033,-0.217,0.814,-6.714,21.606,3.601
0.039,-0.205,0.780,-5.920,22.400,7.385
0.036,-0.177,0.772,-6.775,19.714,11.047
0.039,-0.158,0.797,-8.118,12.146,13.550
0.044,-0.148,0.828,-10.010,3.845,14.465
0.040,-0.133,0.872,-10.925,1.282,14.343
0.044,-0.130,0.898,-11.292,0.366,13.855
0.048,-0.125,0.910,-11.414,2.136,12.451
0.054,-0.120,0.913,-9.583,8.423,10.498
0.057,-0.125,0.901,-6.653,13.672,7.935
0.061,-0.142,0.882,-3.418,17.151,6.226
0.067,-0.151,0.864,-0.244,18.250,6.226
0.068,-0.140,0.852,1.282,16.663,8.362
