aX,aY,aZ,gX,gY,gZ
-0.320,-0.495,1.604,30.212,18.799,-27.100
-0.288,-0.488,1.518,26.306,18.921,-21.606
-0.266,-0.483,1.457,20.813,16.174,-14.282
-0.251,-0.451,1.406,14.954,12.085,-7.324
-0.232,-0.406,1.360,10.437,10.498,-1.892
-0.216,-0.365,1.319,8.118,10.376,1.831
-0.217,-0.323,1.287,6.104,10.803,4.028
-0.213,-0.280,1.245,2.869,12.207,5.798
-0.204,-0.226,1.189,1.465,14.648,7.446
-0.189,-0.179,1.132,4.639,16.296,9.766
-0.172,-0.155,1.084,10.376,16.968,11.047
-0.161,-0.141,1.047,13.306,17.090,10.071
-0.148,-0.135,1.007,11.353,17.273,8.301
-0.144,-0.132,0.978,6.958,17.090,5.920
-0.151,-0.131,0.962,1.953,15.198,3.784
-0.150,-0.133,0.954,-2.441,10.376,2.441
-0.156,-0.146,0.974,-4.883,4.944,1.587
-0.158,-0.151,0.996,-6.287,2.014,1.282
-0.164,-0.137,1.005,-6.836,2.075,2.380
-0.168,-0.120,1.013,-5.066,2.991,3.601
-0.168,-0.117,1.017,-1.648,3.784,3.906
-0.160,-0.114,1.015,0.671,5.859,3.296
-0.154,-0.110,1.002,1.038,8.301,2.747
-0.144,-0.110,0.984,1.831,9.460,2.136
-0.132,-0.114,0.966,3.174,9.521,2.136
-0.119,-0.115,0.945,3.479,9.583,2.502
-0.112,-0.114,0.934,3.357,9.399,2.075
-0.107,-0.119,0.925,2.380,8.789,1.038
-0.101,-0.128,0.915,0.427,7.812,-0.122
-0.101,-0.141,0.915,-1.831,6.470,-1.343
-0.099,-0.151,0.911,-3.723,4.944,-2.014
-0.099,-0.155,0.914,-4.272,3.418,-1.648
-0.103,-0.160,0.930,-3.723,0.732,-0.488
-0.106,-0.156,0.946,-3.723,-1.343,0.671
-0.102,-0.146,0.957,-4.456,-1.831,1.831
-0.104,-0.142,0.968,-4.150,-1.831,2.075
-0.103,-0.145,0.974,-2.747,-0.549,1.831
-0.102,-0.147,0.971,-1.465,1.343,1.831
-0.106,-0.150,0.968,-1.038,2.808,1.953
-0.110,-0.155,0.965,-1.648,3.357,1.648
-0.113,-0.158,0.965,-2.991,3.052,1.587
-0.119,-0.158,0.975,-3.357,2.258,2.136
-0.122,-0.150,0.983,-2.930,1.892,3.296
-0.121,-0.138,0.982,-1.465,2.319,4.761
-0.117,-0.128,0.977,1.160,3.479,5.493
-0.115,-0.120,0.964,3.235,4.944,5.493
-0.107,-0.112,0.944,4.456,5.859,5.127
-0.101,-0.106,0.928,5.249,6.104,4.944
-0.096,-0.109,0.924,5.493,5.005,4.272
-0.096,-0.111,0.926,4.700,3.662,3.174
-0.098,-0.107,0.927,3.113,2.991,2.502
-0.096,-0.107,0.931,2.441,2.380,2.014
-0.099,-0.113,0.937,2.930,1.831,1.404
-0.100,-0.115,0.937,2.686,2.319,1.221
-0.101,-0.116,0.934,1.465,2.441,0.732
-0.103,-0.118,0.932,0.122,1.648,0.244
-0.100,-0.122,0.935,-1.282,0.793,-0.671
-0.101,-0.134,0.945,-2.563,-0.366,-1.648
-0.101,-0.147,0.952,-3.296,-0.610,-2.563
-0.106,-0.151,0.951,-3.784,0.183,-2.319
-0.109,-0.149,0.951,-3.235,-0.061,-1.221
-0.115,-0.144,0.966,-1.587,-2.197,0.549
-0.120,-0.127,0.989,-0.854,-3.967,2.380
-0.425,-0.274,2.126,-24.231,-36.987,-7.568
-0.450,-0.297,2.147,-13.306,-17.761,-4.761
-0.440,-0.311,2.093,0.977,4.822,-0.061
-0.414,-0.307,1.973,13.672,28.259,4.517
-0.389,-0.294,1.837,21.423,46.387,6.775
-0.375,-0.279,1.723,20.142,54.932,7.141
-0.358,-0.250,1.640,8.728,56.396,7.263
-0.345,-0.224,1.601,-5.493,53.040,6.409
-0.344,-0.208,1.609,-17.151,50.720,3.662
-0.328,-0.211,1.609,-25.208,53.528,-0.366
-0.326,-0.227,1.592,-27.344,62.439,-3.723
-0.341,-0.230,1.532,-25.085,74.768,-5.310
-0.329,-0.225,1.447,-20.203,87.524,-4.700
-0.321,-0.236,1.369,-13.977,94.299,-2.991
-0.307,-0.240,1.295,-10.803,98.328,-1.587
-0.298,-0.239,1.229,-11.719,101.929,-0.549
-0.280,-0.240,1.169,-14.648,103.577,0.122
-0.237,-0.236,1.089,-16.602,106.079,1.282
-0.178,-0.241,0.992,-14.893,110.596,3.174
-0.120,-0.234,0.863,-11.475,117.249,4.700
-0.065,-0.192,0.717,-7.812,126.038,7.080
-0.027,-0.155,0.577,-4.517,132.629,10.681
-0.003,-0.135,0.475,-4.517,130.798,10.986
0.004,-0.134,0.322,-9.338,115.845,7.202
0.036,-0.193,0.309,-13.550,93.384,1.648
0.057,-0.208,0.356,-21.973,74.341,0.488
0.090,-0.101,0.325,-36.072,66.833,8.240
0.126,0.045,0.256,-40.771,66.040,17.212
0.154,0.097,0.178,-30.029,64.392,23.865
0.168,0.099,0.079,-16.235,64.819,32.043
0.173,0.072,-0.036,-10.193,67.627,43.030
0.193,0.004,-0.080,-14.099,75.562,53.894
0.210,0.292,-0.215,-19.897,69.092,44.495
0.196,0.247,-0.205,-7.690,47.791,11.353
0.194,0.074,-0.128,-5.066,25.757,-13.000
0.203,-0.010,-0.144,-25.269,17.395,-17.273
0.199,-0.008,-0.133,-41.931,11.719,-10.803
0.187,-0.017,-0.077,-38.696,-0.671,-6.104
0.182,-0.039,-0.017,-25.024,-16.296,-4.028
0.184,-0.040,0.047,-14.587,-29.358,-0.549
0.184,-0.032,0.160,-13.489,-33.081,6.897
0.187,0.066,0.204,-19.958,-22.644,18.188
0.170,0.151,0.217,-22.644,-16.235,27.527
0.164,0.246,0.222,-13.062,-17.517,31.372
0.173,0.290,0.281,0.183,-25.879,28.259
0.173,0.320,0.356,6.470,-33.081,24.109
0.163,0.349,0.418,2.380,-37.537,19.958
0.160,0.341,0.510,-2.319,-42.847,13.611
0.148,0.287,0.594,-4.150,-49.194,5.432
0.134,0.216,0.683,-4.456,-53.955,-1.526
0.114,0.161,0.775,-4.456,-55.603,-4.272
0.091,0.155,0.852,-4.089,-53.345,-2.808
0.087,0.181,0.896,-0.671,-47.607,1.343
0.087,0.208,0.911,8.484,-40.771,3.784
0.078,0.208,0.917,20.691,-34.668,2.441
0.073,0.193,0.906,27.527,-31.189,-1.099
0.072,0.149,0.903,26.855,-30.334,-5.493
0.070,0.087,0.903,20.691,-30.518,-10.803
0.064,0.008,0.917,14.709,-30.884,-15.808
0.054,-0.053,0.946,10.254,-32.410,-19.409
0.044,-0.098,0.974,7.690,-35.889,-21.118
0.041,-0.141,1.010,8.240,-39.368,-20.386
0.021,-0.165,1.054,11.536,-41.992,-18.188
0.007,-0.170,1.094,14.771,-42.603,-15.320
-0.000,-0.179,1.121,17.273,-40.833,-10.437
-0.014,-0.174,1.121,18.799,-34.790,-5.981
-0.035,-0.154,1.106,19.043,-26.550,-2.258
-0.047,-0.138,1.087,16.907,-22.949,-0.305
-0.034,-0.141,1.092,13.794,-24.353,-0.427
-0.019,-0.150,1.117,10.620,-26.123,-0.183
-0.008,-0.141,1.133,8.118,-25.879,1.099
0.007,-0.129,1.127,8.545,-23.437,2.808
0.018,-0.123,1.101,11.108,-18.860,4.150
0.023,-0.110,1.042,12.512,-13.611,4.150
0.025,-0.094,0.992,12.146,-10.193,3.540
0.028,-0.091,0.962,10.681,-11.719,2.258
0.020,-0.084,0.961,7.568,-15.564,1.892
0.003,-0.066,0.989,2.502,-20.203,2.014
-0.011,-0.047,1.034,-3.052,-24.780,2.258
-0.016,-0.044,1.081,-5.859,-26.794,1.587
-0.019,-0.056,1.122,-4.456,-26.245,-0.061
-0.027,-0.067,1.150,0.366,-22.766,-0.366
